RNF39 AP1B1
NCOA3 SMARCE1
DUSP7 MAPK8
DUSP7 EGLN3
CTNND1 SUMO2
CTNND1 CTNNB1
CTNND1 MYC
CTNND1 EGFR
CTNND1 SRC
CTNND1 KRAS
CTNND1 YWHAG
CTNND1 GSK3B
CTNND1 PSEN1
CTNND1 VCP
CTNND1 CTNNA1
CTNND1 CTTN
CTNND1 MUC1
CTNND1 ACTG1
CTNND1 ERBIN
CTNND1 CDH1
CTNND1 CDH3
CTNND1 COL17A1
CTNND1 YES1
CTNND1 JUP
CTNND1 SQSTM1
CTNND1 FER
CTNND1 CTNND1
LIMK2 PRKCD
LIMK2 GSN
LIMK2 CFL1
LIMK2 HSP90AA1
LIMK2 PARD3
LIMK2 NF1
LIMK2 DSTN
TTC32 TXN2
HSPA1A RELA
HSPA1A SUMO2
HSPA1A RBX1
HSPA1A ZMYM2
HSPA1A PSMA3
HSPA1A ATXN1
HSPA1A EGFR
HSPA1A NFKB1
HSPA1A KDM1A
HSPA1A NFKB2
HSPA1A HSPA8
HSPA1A SHC1
HSPA1A HSPD1
HSPA1A YWHAG
HSPA1A APEX1
HSPA1A YY1
HSPA1A REL
HSPA1A SOX9
HSPA1A BAG6
HSPA1A HSPA5
HSPA1A YWHAZ
HSPA1A YWHAQ
HSPA1A TNFRSF1A
HSPA1A ACTB
HSPA1A BAG3
HSPA1A TCERG1
HSPA1A XIAP
HSPA1A HSP90AA1
HSPA1A SMARCA5
HSPA1A CDH1
HSPA1A HSP90AB1
HSPA1A STUB1
HSPA1A ACTN4
HSPA1A CBX4
HSPA1A CUL4A
HSPA1A PSMD2
HSPA1A STAU1
HSPA1A YWHAB
HSPA1A BRAF
HSPA1A KRT18
