AURKAIP1 MRPS5
AURKAIP1 MRPS7
AURKAIP1 MRPS9
AURKAIP1 AJUBA
AURKAIP1 MRPS11
AURKAIP1 MRPS21
AURKAIP1 MRPS18C
AURKAIP1 MRPS33
AURKAIP1 AURKAIP1
AURKAIP1 ABHD4
RAB13 SMAD4
RAB13 RAB13
EPS8 EGFR
EPS8 SRC
EPS8 ITGB1
EPS8 SHC1
EPS8 SOS1
EPS8 HNRNPC
EPS8 PCM1
EPS8 BAIAP2
EPS8 HOOK2
EPS8 EPS8
EPS8 ALDH7A1
EPS8 MRPL20
EPS8 ITGB5
EPS8 DNALI1
EPS8 TSPYL4
EPS8 INPP5J
FRMD3 SERP1
FRMD3 CYB5B
FRMD3 CMTM7
AHCY AGR2
AHCY APPBP2
AHCY BCAR3
AHCY MCC
AHCY MAPK13
AHCY AHCY
LHX1 RLIM
SH3BP5 MAPK8
SH3BP5 MAPK10
SH3BP5 SOS1
SH3BP5 IFT20
VDAC1 NPM1
VDAC1 NDUFS1
VDAC1 EIF3K
VDAC1 GAPDH
VDAC1 HSP90B1
VDAC1 HSPD1
VDAC1 LRPPRC
VDAC1 DDX5
VDAC1 NCL
VDAC1 ANXA2
VDAC1 ACTB
VDAC1 TUBB
VDAC1 HNRNPA2B1
VDAC1 HSP90AA1
VDAC1 BCL2L1
VDAC1 HSP90AB1
VDAC1 HNRNPA1
VDAC1 PHB
VDAC1 RPS4X
VDAC1 SSRP1
VDAC1 HK1
VDAC1 EIF3E
VDAC1 EIF3D
VDAC1 EIF3M
VDAC1 ATP5F1C
VDAC1 HNRNPH1
VDAC1 RPN1
VDAC1 SLC3A2
VDAC1 ATP1A1
VDAC1 MT-CO2
VDAC1 ATP5F1A
VDAC1 HSPA9
VDAC1 MCL1
VDAC1 RPL7A
VDAC1 RPS8
VDAC1 RPL18
VDAC1 MYL6
VDAC1 RPL7
VDAC1 CBR1
VDAC1 RAN
VDAC1 RPS10
VDAC1 BCL2L11
VDAC1 GANAB
VDAC1 ANXA1
VDAC1 TARDBP
VDAC1 GABARAPL2
VDAC1 RPS24
VDAC1 HADHA
VDAC1 ATP5F1B
VDAC1 RAB2A
VDAC1 UQCRC2
VDAC1 VDAC2
VDAC1 VDAC3
VDAC1 ATP5PO
VDAC1 DDOST
VDAC1 NDUFA8
VDAC1 ATP1B1
VDAC1 ATP5PB
VDAC1 COX4I1
VDAC1 CYC1
VDAC1 IMMT
VDAC1 DYNLT1
VDAC1 SLC25A4
VDAC1 SFXN1
VDAC1 NDUFA5
VDAC1 PGRMC1
VDAC1 PRDX3
VDAC1 SSR4
VDAC1 NDUFS3
VDAC1 PDHA1
VDAC1 MCC
VDAC1 EIF4A2
VDAC1 TUBA4A
VDAC1 MME
VDAC1 TNPO1
VDAC1 TOMM20
VDAC1 VDAC1
VDAC1 NUDC
VDAC1 DYNLT3
PSME1 PSMA3
PSME1 ITGB3BP
PSME1 PIK3CB
PSME1 CHD3
PSME1 EMD
PSME1 USP22
PSME1 PSMC5
PSME1 PSMD4
PSME1 PSMC3
PSME1 PSMC4
PSME1 PSMC1
PSME1 PSMD7
PSME1 PSMD12
PSME1 PSMD8
PSME1 PSMB1
PSME1 PSMB7
PSME1 PSMB4
PSME1 PSMB5
PSME1 PSMB6
PSME1 PFDN1
PSME1 PSME1
PSME1 EMG1
PSME1 ATP1B1
PSME1 TUBB4B
PEF1 UBC
PEF1 TFG
PEF1 DNM2
PEF1 BAG3
PEF1 EIF4G1
PEF1 ALG2
PEF1 BAG4
PEF1 CALCOCO2
PEF1 SEC31A
PEF1 FASN
PEF1 AKAP8L
PEF1 C11orf1
PEF1 PEF1
PEF1 METTL15
RHBDD2 BCL2L1
RHBDD2 DYNC1H1
RHBDD2 GCSH
RHBDD2 TUFM
RHBDD2 COMT
RHBDD2 ACSF2
RHBDD2 TIMM17B
RHBDD2 MRPL35
RHBDD2 MMRN2
RHBDD2 MICOS13
RHBDD2 SDHD
RHBDD2 MPC2
RHBDD2 LETMD1
RHBDD2 ROMO1
RHBDD2 TPRG1
RHBDD2 MFSD14C
NDUFS1 MYC
NDUFS1 UQCRC2
NDUFS1 PHB
NDUFS1 ATP5F1C
NDUFS1 ATP5F1B
NDUFS1 CPT1A
NDUFS1 NDUFS3
NDUFS1 NDUFA9
NDUFS1 NDUFS7
NDUFS1 NDUFV1
NDUFS1 NDUFS8
NDUFS1 NDUFA12
NDUFS1 NDUFB5
NDUFS1 NDUFB10
NDUFS1 NDUFA8
NDUFS1 MT-CO2
NDUFS1 NDUFS4
NDUFS1 NDUFS5
NDUFS1 NDUFS6
NDUFS1 COX4I1
NDUFS1 CYC1
NDUFS1 NDUFA1
NDUFS1 NDUFB4
NDUFS1 NDUFA3
NDUFS1 UQCRQ
NDUFS1 NDUFA13
NDUFS1 NDUFA4
NDUFS1 UQCRB
NDUFS1 NDUFB3
NDUFS1 MT-ND4L
NDUFS1 UQCR10
NDUFS1 UQCRFS1
NDUFS1 MT-ND2
NDUFS1 NDUFB6
NDUFS1 NDUFA10
NDUFS1 NDUFC1
NDUFS1 NDUFA2
NDUFS1 UQCR11
NDUFS1 NDUFB11
NDUFS1 NDUFC2
NDUFS1 NDUFAB1
NDUFS1 UQCRH
NDUFS1 MT-ND1
NDUFS1 NDUFB8
NDUFS1 NDUFA5
NDUFS1 MT-CYB
NDUFS1 NDUFB2
NDUFS1 NDUFA11
NDUFS1 NDUFB7
NDUFS1 UQCRC1
NDUFS1 NDUFV3
NDUFS1 NDUFB1
NDUFS1 MDH2
LYSMD2 DUSP4
SRP14 NPM1
SRP14 MYC
SRP14 EEF1A1
SRP14 ARF6
SRP14 LUC7L2
SRP14 HNRNPU
SRP14 ILF2
SRP14 NCL
SRP14 DHX9
SRP14 EBNA1BP2
SRP14 RPL3
SRP14 TOP1
SRP14 HNRNPA1
SRP14 HNRNPM
SRP14 RPL5
SRP14 RPL24
SRP14 RPL7A
SRP14 EEF2
SRP14 RPS8
SRP14 RPL10A
SRP14 RPL18
SRP14 RPL7
SRP14 RPS6
SRP14 RPL6
SRP14 RPL14
SRP14 RPL37A
SRP14 RPL26
SRP14 RPS24
SRP14 SNU13
SRP14 RPL15
SRP14 RPL36
SRP14 RPL10
SRP14 BRIX1
SRP14 RPL29
SRP14 TUFM
SRP14 RPL35
SRP14 RPL13A
SRP14 RSL1D1
SRP14 SRP9
PSMB6 UBE3A
PSMB6 PSMA3
PSMB6 HSPA5
PSMB6 HSPA1A
PSMB6 PSMC5
PSMB6 PSMD4
PSMB6 PSMC3
PSMB6 PSMC4
PSMB6 PSMC1
PSMB6 PSMD7
PSMB6 PSMD12
PSMB6 PSMD8
PSMB6 PSMB1
PSMB6 PSMB7
PSMB6 PSMB4
PSMB6 PSMB5
PSMB6 TUBA4A
MYL12B CSNK2A1
MYL12B MYLK
MYL12B MYLIP
DBT HDAC6
DBT DLD
DBT AGO3
DBT BCAT2
DBT ADI1
DBT IVD
CCDC14 KDM1A
CCDC14 PCM1
CCDC14 RNF8
CCDC14 OFD1
EPAS1 SUMO1
EPAS1 JUN
EPAS1 SP1
EPAS1 EP300
EPAS1 TFAP2A
EPAS1 NDN
EPAS1 ARNTL
EPAS1 EGLN3
EPAS1 EPAS1
EPAS1 PSMC3
EPAS1 EIF3E
KBTBD3 MME
GLA ARSA
GLA GLA
PAK6 MDM2
PAK6 AR
PAK6 RAC1
PAK6 YWHAQ
PAK6 CDC42
PAK6 RHOV
LMO2 GATA2
LMO2 AFDN
LMO2 LMO2
LMO2 SSBP2
LMO2 HNRNPM
LMO2 ZNF24
LMO2 ABI2
LMO2 MAPRE1
LMO2 HOOK1
LMO2 IFT43
LMO2 BEX2
LMO2 HNRNPC
LMO2 KRT15
LMO2 SP1
LMO2 SKP1
LMO2 STAT3
LMO2 GOLGA2
LMO2 SMAD2
LMO2 RB1
LMO2 CALCOCO2
LMO2 LZTS2
LMO2 N4BP2L2
LMO2 TRIP6
LMO2 RLIM
LMO2 DDIT3
LMO2 ELF2
LMO2 GATA3
LMO2 RBBP8
LMO2 VEZF1
LMO2 NDUFAB1
LMO2 RCN1
LMO2 ARHGEF5
LMO2 EFHC1
LMO2 NDUFB7
LMO2 PATZ1
LMO2 TBX2
LMO2 RTL8C
LMO2 ZNF185
LMO2 VBP1
LMO2 RUSC1
LMO2 ICA1L
LMO2 LDOC1
LMO2 TSPYL2
LMO2 KAZN
ATP5MF MYC
ATP5MF KDM1A
ATP5MF ATP5F1C
ATP5MF ATP5F1A
ATP5MF NECTIN2
ATP5MF FBP1
ATP5MF LPP
ATP5MF ATP5F1B
ATP5MF MME
ATP5MF ATP5IF1
ATP5MF ATP5PB
ATP5MF ATP5PO
ATP5MF ATP5MC1
ATP5MF CRELD1
ATP5MF ATP5PF
ATP5MF ATP5PD
ATP5MF ATP5MG
ATP5MF ATP5ME
ATP5MF MT-ATP6
ATP5MF ATP5F1D
RTF1 SUPT16H
RTF1 UBE2B
RTF1 SSRP1
RTF1 PAF1
RTF1 PEX2
PRPF31 CDC5L
PRPF31 KRT15
PRPF31 DDX5
PRPF31 DDX17
PRPF31 HNRNPK
PRPF31 SNRNP70
PRPF31 GOLGA2
PRPF31 LDOC1
PRPF31 DHX9
PRPF31 SRSF1
PRPF31 SNRNP200
PRPF31 SNW1
PRPF31 PRPF6
PRPF31 TRIM27
PRPF31 SF3B1
PRPF31 FXR1
PRPF31 SYF2
PRPF31 TRA2B
PRPF31 SPEN
PRPF31 LURAP1
PRPF31 HOOK2
PRPF31 CEP70
