TRIM54 GTF2IRD2
TRIM54 TRIM55
TRIM54 CRADD
TRIM54 FARS2
TRIM54 CHCHD2
TRIM54 DCUN1D1
TRIM54 LMO1
TRIM54 CTNNA3
TRIM54 FAM50B
TRIM54 TEAD4
TRIM54 PRKAB2
TRIM54 UBE2D1
TRIM54 UBL4A
TRIM54 KAT14
TRIM54 GTF2IRD2B
HSPB2 CRYAB
HSPB2 BAG3
HSPB2 HSPB8
HSPB2 DMPK
HSPB2 HSPB2
HSPB2 HSPB3
HSPB2 UBL5
HSPB2 VEZF1
HSPB2 LMO1
MRAS RAF1
MRAS MRAS
TMEM140 MGST3
TMEM140 SCN3B
TMEM140 TMEM182
TMEM140 FAM210B
AAMDC BAG3
HOXC8 PDE4DIP
HOXC8 ZRANB1
HOXC8 LRP2BP
HOXC8 OIP5
HOXC8 USP54
HOXC8 GYS1
HOXC8 FNTB
HOXC8 DLX5
HOXC8 ZMAT5
DLX5 DLX5
YBX1 ANKRD2
YBX1 EIF3K
YBX1 GAPDH
YBX1 UBC
YBX1 MRPS22
YBX1 RUVBL2
YBX1 ATP5F1C
YBX1 IMMT
YBX1 WDR77
YBX1 MRPS15
YBX1 DDX20
YBX1 SLC25A3
YBX1 VDAC3
YBX1 VDAC2
YBX1 SKP1
YBX1 RPL38
YBX1 PRMT5
YBX1 SNRNP25
YBX1 RPL35
YBX1 RPL7
YBX1 SNRNP35
YBX1 ANXA6
YBX1 RPL27
YBX1 ZMAT5
YBX1 TUFM
YBX1 ATP5F1A
YBX1 PITX2
YBX1 RPL37A
YBX1 YBX1
YBX1 CMSS1
YBX1 RPL23A
YBX1 ZCRB1
YBX1 RPLP1
YBX1 MRPS23
GDNF NCAM1
GDNF GDNF
STUB1 CDKN1A
STUB1 UBC
STUB1 PRKN
STUB1 MAPT
STUB1 TP73
STUB1 UBE2D1
STUB1 BAG3
STUB1 PRMT5
STUB1 DNAJB6
STUB1 EIF5A
STUB1 BAG1
STUB1 PSMD4
STUB1 HSF1
STUB1 HSPA2
STUB1 PRKACA
STUB1 BAG2
STUB1 RAF1
STUB1 SOD1
STUB1 NOS1
STUB1 GHR
STUB1 DNAJA3
STUB1 STUB1
STUB1 ATCAY
STUB1 NHLRC1
STUB1 UBE2V2
STUB1 CDC37L1
STUB1 ALDH1L1
STUB1 TXN2
STUB1 E2F8
LRP2BP CDKN1A
LRP2BP COPS3
LRP2BP CDKL3
PRKAB2 PRKAA2
PRKAB2 SAMD4A
PRKAB2 GET4
PRKAB2 GYS1
PRKAB2 GYG1
PRKAB2 EPM2A
PRKAB2 PSMD11
PRKAB2 DDIT4L
PRKAB2 KLF15
PRKAB2 AGL
PRKAB2 LZTS1
PRKAB2 PPP1R16A
PRKAB2 USP54
PRKAB2 QKI
PRKAB2 ANAPC11
PRKAB2 VBP1
PRKAB2 TNNI1
PRKAB2 CCDC28B
ECPAS PSMA6
ECPAS PSMD14
ECPAS PSMC5
ECPAS PSMC2
ECPAS PSMD12
ECPAS PSMD1
ECPAS MYO10
ECPAS MYH7
ECPAS PTP4A3
NDUFS5 NDUFA13
NDUFS5 AIFM1
NDUFS5 UQCRC2
NDUFS5 NDUFB9
NDUFS5 NDUFB11
NDUFS5 UQCRB
NDUFS5 NDUFS4
NDUFS5 CYC1
NDUFS5 NDUFA2
NDUFS5 NDUFB5
NDUFS5 NDUFA12
NDUFS5 NDUFB10
NDUFS5 NDUFA5
NDUFS5 NDUFS3
NDUFS5 NDUFA8
NDUFS5 NDUFB7
NDUFS5 UQCRC1
NDUFS5 NDUFS2
NDUFS5 NDUFA9
NDUFS5 NDUFS8
NDUFS5 NDUFS7
NDUFS5 NDUFV1
NDUFS5 NDUFA1
NDUFS5 NDUFB4
NDUFS5 NDUFA3
NDUFS5 UQCRQ
NDUFS5 NDUFA4
NDUFS5 NDUFB3
NDUFS5 UQCR10
NDUFS5 UQCRFS1
NDUFS5 NDUFAF1
NDUFS5 NDUFB6
NDUFS5 NDUFA10
NDUFS5 NDUFC1
NDUFS5 UQCR11
NDUFS5 NDUFC2
NDUFS5 NDUFAB1
NDUFS5 ETFDH
NDUFS5 UQCRH
NDUFS5 NDUFA11
NDUFS5 NDUFB2
NDUFS5 NDUFV3
NDUFS5 NDUFA7
NDUFS5 NDUFV2
NDUFS5 NDUFB1
MFN2 PRKN
SNAPIN PRKACA
SNAPIN BLOC1S1
SNAPIN ATG14
SNAPIN FSD2
SNAPIN IMMT
SNAPIN DDR1
SNAPIN INSYN1
SNAPIN TPM2
ETFB ETFA
ETFB ETFRF1
ETFDH NDUFA13
ETFDH UQCRC2
ETFDH NDUFB9
ETFDH UQCRB
ETFDH NDUFS4
ETFDH CYC1
ETFDH NDUFA2
ETFDH NDUFB5
ETFDH NDUFA12
ETFDH NDUFB10
ETFDH NDUFA5
ETFDH NDUFS3
ETFDH NDUFA8
ETFDH NDUFB7
ETFDH NDUFS2
ETFDH UQCRC1
ETFDH NDUFV2
ETFDH UQCRQ
ETFDH UQCRH
ETFDH NDUFA9
ETFDH NDUFS8
ETFDH NDUFA4
ETFDH NDUFV1
ETFDH NDUFS7
ETFDH NDUFC2
ETFDH UQCR10
ETFDH NDUFB6
ETFDH NDUFB1
ETFDH NDUFV3
ETFDH NDUFA7
ETFDH NDUFA3
ETFDH NDUFB3
ETFDH NDUFB4
ETFDH NDUFA11
ETFDH UQCRFS1
ETFDH NDUFAB1
ETFDH NDUFA10
ETFDH UQCR11
ETFDH NDUFC1
ETFDH NDUFA1
