TXLNA GOLGA2
TXLNA WASHC1
TXLNA STX1A
TXLNA KRT20
TXLNA STX3
TXLNA CCHCR1
TXLNA TXLNA
TXLNA PPP1R13B
TXLNA PRPF3
TXLNA EPN2
TXLNA BIN3
TXLNA SREK1
TXLNA FAM81A
TXLNA CCDC112
TXLNA CCDC196
IGHA1 APOA1
IGHA1 CDH1
IGHA1 SGK1
IGHA1 CDK5RAP3
IGHA1 CHMP4C
IGHA1 PRSS3
STXBP1 PLD1
STXBP1 HGS
STXBP1 PRKCA
STXBP1 SYTL4
STXBP1 STX3
STXBP1 STX1A
STXBP1 STX19
STXBP1 TUBA4A
STXBP1 TUBB2A
STXBP1 TUBB4B
CSTF3 POLR2A
CSTF3 BARD1
CSTF3 SYMPK
CSTF3 CPSF1
SLC30A4 BTN2A2
HEXIM1 HDAC1
HEXIM1 DYNC1H1
HEXIM1 SFPQ
HEXIM1 CCNT2
HEXIM1 MEPCE
HEXIM1 MOV10
HEXIM1 HEXIM1
THOC2 SNRNP70
THOC2 SF3B1
THOC2 TRA2B
THOC2 SPEN
THOC2 SRRM2
THOC2 RBM39
THOC2 SRSF11
THOC2 EIF4A3
THOC2 MOV10
THOC2 DHX15
THOC2 NCBP1
THOC2 PAXBP1
THOC2 DDX39B
THOC2 SRSF2
THOC2 CDK12
THOC2 PRPF3
THOC2 ACIN1
THOC2 LUC7L3
THOC2 SRSF5
THOC2 SRRT
THOC2 PRPF4B
THOC2 PRPF18
THOC2 RBM15
THOC2 PPIL2
THOC2 SRSF6
THOC2 DHX16
EIF1AY ATXN1
EIF1AY EIF5B
EPC2 SRCAP
EPC2 TRRAP
EPC2 BRD8
EPC2 MORF4L2
NTN4 NEO1
DEDD2 HNRNPAB
DEDD2 CASP10
DEDD2 DEDD2
ABLIM1 FHL2
ABLIM1 GOLGA2
ABLIM1 SFN
ABLIM1 TRAF2
ABLIM1 HOOK2
ABLIM1 SREBF2
PDE11A GUCY2C
PDE11A ADCY6
MAPKAPK2 MAPK8
MAPKAPK2 AKT1
MAPKAPK2 SRF
MAPKAPK2 TCF3
MAPKAPK2 DDIT3
MAPKAPK2 YWHAZ
MAPKAPK2 MAPK3
MAPKAPK2 TSC2
MAPKAPK2 MAPKAPK2
MAPKAPK2 MAPKAPK5
MAPKAPK2 MAPK6
DIAPH2 RHOD
PDIA4 HSP90B1
PDIA4 LDLR
PDIA4 P4HB
PDIA4 PCSK9
PDIA4 GADD45G
PDIA4 HYOU1
INO80E TCF3
INO80E KPNA2
INO80E PICK1
INO80E GEM
INO80E TBRG1
UBA6 UBC
UBA6 HDLBP
TOX3 FHL2
TOX3 IST1
TOX3 NUP62CL
TOX3 SEZ6L2
TRIM15 AKT1
