ASNS ATG101
ASNS DDA1
ASNS PRKAG2
TNK1 SFN
TNK1 TNK1
USP15 CTNNB1
USP15 UBC
USP15 SMAD3
USP15 SMAD1
USP15 TRIM25
USP15 USP15
USP15 SMURF2
USP15 SELENBP1
USP15 CKB
USP15 MEPCE
RPL41 CTNNB1
RPL41 RPL31
RPL41 RPL28
RPL41 RPLP2
RPL41 RPS11
RPL41 RPS19
RPL41 RPL37A
RPL41 RPS24
RPL41 RPL27A
RPL41 RPL36
RPL41 RPL38
RPL41 RPL29
RPL41 SDCBP2
RPL41 RPL35
RPL41 RPL13A
RPL41 RPS29
RPL41 RPS18
RPL41 RPS21
RPL41 RPL36A
RPL41 RPL39
RPL41 RPL37
RPL41 RPS4Y1
RAD18 UBC
RAD18 TAX1BP1
RAD18 RAD18
RAD18 LLGL2
SLC30A1 KRAS
SLC30A1 NRAS
HID1 UBL5
HID1 RCN3
AGR2 YWHAZ
AGR2 TXN
AGR2 YWHAE
AGR2 SFPQ
AGR2 PTBP1
AGR2 P4HB
AGR2 CSNK1A1
AGR2 AHNAK
AGR2 RPL35
AGR2 TPI1
AGR2 HSP90AA1
AGR2 TUBB3
AGR2 RPL31
AGR2 TUBB2A
AGR2 RPL13A
AGR2 HSP90B1
AGR2 FLNB
AGR2 PLEC
AGR2 RRBP1
AGR2 VCL
AGR2 DYNC1H1
AGR2 ANXA2
AGR2 PYGB
AGR2 UBC
AGR2 TUBB4B
AGR2 EZR
AGR2 DDX3X
AGR2 LRRC59
AGR2 ALDH18A1
AGR2 ACTN4
AGR2 EIF5B
AGR2 RPS11
AGR2 NPEPPS
AGR2 ECH1
AGR2 RPS29
AGR2 ARF4
AGR2 RPL29
AGR2 EWSR1
AGR2 HMGA1
AGR2 MUC2
AGR2 FABP2
AGR2 RBFOX1
AGR2 TRAF2
AGR2 NDUFB2
AGR2 ANKRD11
AGR2 CRCP
CDYL HDAC1
CDYL CTBP2
CDYL LCOR
CDYL ZNF217
CDYL RCOR1
CDYL RREB1
CDYL CDYL
GMNN CDKN1A
GMNN HOXA10
GMNN HOXB7
GMNN HOXD10
GMNN GMNN
GMNN LNX1
SOCS4 PIK3R3
BSPRY YWHAZ
PHRF1 JMJD6
ANXA11 SRI
ANXA11 EWSR1
ANXA11 PLSCR1
ANXA11 S100A6
OTOP2 RPL38
OTOP2 SLC25A13
EFNB1 SRC
EFNB1 PICK1
EFNB1 TIAM1
EFNB1 EFNB1
EFNB1 EPHB2
SRC MDM2
SRC SRF
SRC CSNK2A1
SRC CTNNB1
SRC CCND1
SRC ERBB2
SRC PTK2
SRC KRAS
SRC EPHB2
SRC MT-ND2
SRC CDH1
SRC BCAR1
SRC CRK
SRC MUC1
SRC SHB
SRC HSP90AA1
SRC VDR
SRC SRC
SRC SH3KBP1
SRC TNFRSF1A
SRC DNM2
SRC CBLC
SRC LNX1
SRC TRIM15
SRC TLR3
SRC YWHAH
SRC BDKRB2
SRC PRKCI
SRC POLD1
SRC EWSR1
SRC YWHAE
SRC POLR2A
SRC UGT2B7
SRC HNF1A
SRC CDC37
SRC UBB
SRC YES1
SRC CD2AP
SRC SPTAN1
SRC ARHGAP17
SRC DDX3Y
SRC AFDN
SRC TNFRSF11A
SRC DOK4
SRC VAV3
SRC EZR
SRC RHOU
SRC GAB1
SRC ADGRE5
SRC TULP4
SRC PROM1
SRC PRKCZ
SRC PRKCD
SRC AFAP1
SRC PLD1
SRC YTHDC1
SRC ASAP2
SRC CTTN
SRC ANXA2
SRC VCL
SRC SH3GLB1
SRC UBC
SRC CEACAM3
SRC ID4
SRC TIAM1
SRC VIL1
SRC GUCY2C
SRC CHN2
SRC TRPC6
SRC ANKRD11
SRC STAT6
SRC SLC9A2
SRC SFPQ
SRC FLNB
SRC ERBB3
SRC HES1
SRC EFNB2
SRC CAST
SRC PLSCR1
SRC FARP2
SRC GJB1
SRC AKAP8
SRC ETS2
SRC MST1R
SRC THRB
SRC SRRT
SRC CDCP1
SRC CEACAM1
SRC STAP2
SRC ABI1
SRC MYLK
SRC JUP
SRC P2RY2
TRIM25 FBXW7
TRIM25 KLF5
TRIM25 JUP
TRIM25 DDX23
TRIM25 NPEPPS
TRIM25 XRCC3
TRIM25 TOP1
TRIM25 TRIM25
TRIM25 PITX2
TRIM25 UBE2S
TRIM25 HSPA1B
TRIM25 SLC25A13
TRIM25 RPL27A
TRIM25 GPRC5A
TRIM25 RPS19
TRIM25 RPL28
TRIM25 TUBB4B
TRIM25 RPS29
TRIM25 TMED9
TRIM25 RFFL
TRIM25 MAP3K13
TRIM25 SFN
CHTOP APP
CHTOP DDX39B
CHTOP DDX39A
ZNF207 CDC5L
ZNF207 ERBB3
ZNF207 SNRNP70
ZNF207 TCERG1
ZNF207 SNW1
ZNF207 TRA2B
ZNF207 SPEN
ZNF207 SRRM2
ZNF207 RBM39
ZNF207 DDX3X
ZNF207 EIF4A3
ZNF207 SRRM1
ZNF207 BUD31
ZNF207 CRNKL1
ZNF207 DHX15
ZNF207 DDX23
ZNF207 PAXBP1
ZNF207 DDX39B
ZNF207 SRSF2
ZNF207 LSM7
ZNF207 ACIN1
ZNF207 PRPF4B
ZNF207 SRSF5
ZNF207 SRRT
ZNF207 SRSF6
ZNF207 LUC7L3
ZNF207 SNRNP27
ZNF207 SMNDC1
ZNF207 CDK12
ZNF207 DHX16
ZNF207 PRPF18
ZNF622 FOS
ZNF622 EIF6
ZNF622 ZNF622
ZNF622 BEND7
PLEKHF2 PIK3R3
PLEKHF2 SFN
PLEKHF2 AHNAK
PLEKHF2 NSD2
PLEKHF2 GTPBP2
PLEKHF2 ARL6IP1
PLEKHF2 INO80
PLEKHF2 GPBP1
PLEKHF2 ADAP1
PLEKHF2 COX5B
PLEKHF2 ZNF165
PLEKHF2 DTX2
PLEKHF2 GEM
PLEKHF2 FBXW5
PLEKHF2 CDC20B
PLEKHF2 BEND7
PLEKHF2 PACSIN2
PLEKHF2 C1orf35
PLEKHF2 NPM2
PLEKHF2 CTH
PLEKHF2 TMEM159
PLEKHF2 S100A13
PLEKHF2 GPBP1L1
PLEKHF2 TBX3
PLEKHF2 PDK4
PLEKHF2 HEBP2
PLEKHF2 PTPN3
PLEKHF2 GRAMD4
PLEKHF2 EML2
PLEKHF2 NDUFA5
PLEKHF2 FGF13
PLEKHF2 PPCDC
PLEKHF2 MIDN
PLEKHF2 PWWP2A
