STXBP1 STX19
STXBP1 NEFM
STXBP1 TUBA4A
STXBP1 DOC2A
STXBP1 SNAP25
STXBP1 TUBB2A
STXBP1 TUBB4B
DDX3X MYC
DDX3X LMNA
DDX3X HSPA8
DDX3X HSPD1
DDX3X HNRNPU
DDX3X YWHAZ
DDX3X ANXA2
DDX3X ERCC6
DDX3X ENO1
DDX3X HSP90AA1
DDX3X HSP90AB1
DDX3X TOB1
DDX3X MATR3
DDX3X HNRNPH1
DDX3X WTAP
DDX3X ANXA1
DDX3X EIF4A3
DDX3X THOC3
DDX3X ELF3
TSPAN12 RNF152
TSPAN12 IGFBP5
TSPAN12 GPR37L1
DGKI PLCB1
DGKI PLCD4
DGKI PLCH2
DGKI PLCH1
DGKI PLCB4
HSPH1 NR4A1
HSPH1 MYC
HSPH1 HSPA8
HSPH1 YWHAZ
HSPH1 HSP90AB1
HSPH1 YAP1
HSPH1 TUBA4A
HSPH1 STK39
FOXA3 TLE1
FOXA3 TLE2
ABLIM1 KRT15
ABLIM1 YWHAG
ABLIM1 FHL2
ABLIM1 ACTG1
ABLIM1 SFN
FGFRL1 FGF2
PLS3 MYC
ARF4 MYC
ARF4 EGFR
C16orf92 NSG1
F2R CAV1
F2R ITGAV
F2R GNA15
F2R GNAT1
LTB4R LTB4R
LTB4R GNA15
UMPS A2M
UMPS UMPS
WTAP HSPA8
WTAP HSPA5
WTAP YWHAZ
WTAP HNRNPH1
WTAP BMI1
WTAP EIF4A3
WTAP RACGAP1
WTAP THOC3
WTAP WTAP
WTAP PLPPR3
WTAP CENPB
WTAP COBLL1
WTAP BYSL
SLC22A23 WFDC2
SLC22A23 CLCA4
RHBDL1 ABHD16A
RHBDL1 COMT
RHBDL1 APOD
RHBDL1 SPTSSA
WWTR1 YWHAG
WWTR1 YWHAZ
WWTR1 BTRC
WWTR1 YWHAE
WWTR1 TP53BP2
WWTR1 TEAD1
WWTR1 TEAD2
WWTR1 PAX3
WWTR1 C1orf74
JUP FBXW7
JUP CTNNB1
JUP EGFR
JUP FHL2
JUP MUC1
JUP BTRC
JUP CTNNBIP1
JUP CDH1
JUP CDH3
JUP CDH2
JUP PKP2
JUP DSP
JUP DSG1
JUP PTPRF
JUP DSC2
JUP DSG3
JUP PTPN14
JUP FER
JUP PKP3
JUP DSC3
JUP RSPH14
PHYHIPL PDE9A
MLC1 MYLK
SOX9 FBXW7
YAP1 FBXW7
YAP1 CTNNB1
YAP1 TP63
YAP1 YWHAG
YAP1 HNRNPU
YAP1 TP73
YAP1 HSPA5
YAP1 YWHAZ
YAP1 ERBB4
YAP1 BTRC
YAP1 ENO1
YAP1 PTPN14
YAP1 SFN
YAP1 YWHAE
YAP1 TP53BP2
YAP1 AMOTL2
YAP1 TEAD1
YAP1 AMOTL1
YAP1 HSPA4L
YAP1 TEAD2
YAP1 MATR3
YAP1 FOXC1
YAP1 MSC
YAP1 NR1D1
YAP1 FOXA1
YAP1 STK3
ZNF726 PFDN2
TUBA1C FBXW7
TUBA1C MDM2
TUBA1C CDKN2A
TUBA1C TUBB6
TUBA1C TJP1
