CLPS PNLIP
PRPF31 TRA2B
PRPF31 SPEN
PRPF31 KIFC3
PRPF31 RBM25
PRPF31 SRRM2
PRPF31 RBM39
PRPF31 DDX3X
PRPF31 ALYREF
PRPF31 MEPCE
PRPF31 SRSF7
PRPF31 SRSF11
PRPF31 PRPF40A
PRPF31 SRSF3
PRPF31 SNRPD1
PRPF31 SRRM1
PRPF31 SF3B3
PRPF31 KPNA1
PRPF31 MFAP1
PRPF31 SNRPB
PRPF31 SNRPG
PRPF31 RBMX
PRPF31 C1QTNF1
PRPF31 PRPF3
PRPF31 SF3A3
PRPF31 PRPF8
PRPF31 SNRPA1
PRPF31 SF3A2
PRPF31 SNU13
PRPF31 PHF5A
PRPF31 PRPF31
PRPF31 SNRPB2
PRPF31 SNRNP27
PRPF31 SRSF2
PRPF31 WTAP
PRPF31 RBM8A
PRPF31 LSM2
PRPF31 SNRNP40
PRPF31 DHX38
PRPF31 PHC2
PRPF31 DDX46
PRPF31 CWC15
PRPF31 STX11
PRPF31 AGO3
PRPF31 MOV10
PRPF31 CALCOCO2
PRPF31 SF3B2
PRPF31 PPM1G
PRPF31 RBM17
PRPF31 PUF60
PRPF31 CFAP20
PRPF31 LUC7L3
PRPF31 ZNF207
PRPF31 U2SURP
PRPF31 THOC2
PRPF31 DHX15
PRPF31 SLU7
PRPF31 NUDT21
PRPF31 DNAJC8
PRPF31 DDX23
PRPF31 RNPS1
PRPF31 ISY1
PRPF31 SRSF4
PRPF31 ACIN1
PRPF31 SRSF9
PRPF31 IK
PRPF31 PRPF4B
PRPF31 U2AF2
PRPF31 AQR
PRPF31 RBM22
PRPF31 BUD31
PRPF31 KHDRBS3
PRPF31 TRIR
PRPF31 SMNDC1
PRPF31 SF3B6
PRPF31 KANK2
PRPF31 ZRANB1
PRPF31 ZNF71
PRPF31 EVI5
PRPF31 CDR2L
PRPF31 ZNF792
PRPF31 PPP2R3C
GLUD1 TRAF6
GLUD1 DYNLL1
GLUD1 GLUD1
EGR1 SRF
EGR1 CREBBP
EGR1 SUMO1
EGR1 RELA
EGR1 JUN
EGR1 SP1
EGR1 CSNK2A1
EGR1 PSMA3
EGR1 EP300
EGR1 NAB1
EGR1 SNAI1
EGR1 CSNK2A2
EGR1 TGFBR2
EGR1 NFATC1
EGR1 FOSL1
EGR1 FLI1
EGR1 CREB1
EGR1 ACE
EGR1 NFATC2
PAWR PML
PAWR HSPA5
PAWR DAPK3
PAWR SQSTM1
PAWR PAWR
RPN1 MYC
RPN1 CDK9
RPN1 UBQLN1
RPN1 HSPA5
RPN1 ILF2
RPN1 NCL
RPN1 HNRNPC
RPN1 DHX9
RPN1 SGTA
RPN1 HSP90AB1
RPN1 ELAVL1
RPN1 FMR1
RPN1 SF3B1
RPN1 STAU1
RPN1 ILF3
RPN1 MCF2L
RPN1 CAMLG
RPN1 RPN2
RPN1 OS9
RPN1 MLEC
RPN1 UPF1
RPN1 HNRNPL
RPN1 SYNCRIP
RPN1 SLC25A3
RPN1 SF3B3
RPN1 SYNE1
RPN1 RPL26
RPN1 PCBP2
RPN1 MOV10
RPN1 DICER1
RPN1 DDX18
RPN1 ZNF326
RPN1 MYBBP1A
RPN1 GTPBP4
RPN1 HLA-B
RPN1 RAD23A
RPN1 TUSC3
RPN1 DAD1
RPN1 RPL17
RPN1 TCP1
RPN1 MAGT1
RPN1 GABARAPL2
RPN1 SIGIRR
TPM4 APC
TPM4 CDK2
TPM4 ARRB1
TPM4 MYH9
TPM4 TPM3
TPM4 TPM1
TPM4 PTP4A3
TPM4 LNX1
FAM160A2 AKTIP
FAM160A2 RABAC1
FAM160A2 HOOK3
SEPHS1 XAF1
SEPHS1 SEPHS1
SEPHS1 PUM1
SEPHS1 SLC35F6
SEPHS1 TNFRSF10D
PARP12 SUMO1
PARP12 BCL6
BAIAP2L1 YWHAG
BAIAP2L1 BAG3
BAIAP2L1 BAIAP2
PSMC1 UBE3A
PSMC1 MYC
PSMC1 PSMA3
PSMC1 PIAS3
PSMC1 NFKB2
PSMC1 UBC
