RPS15 RPL3
RPS15 RPS7
RPS15 HNRNPM
RPS15 TUBA1A
RPS15 ILF3
RPS15 RPS3A
RPS15 RPS5
RPS15 RPL9
RPS15 RPL22
RPS15 RPS10
RPS15 RPL37A
RPS15 RPL26
RPS15 RPS17
RPS15 SNU13
RPS15 RPL27A
RPS15 RPL38
RPS15 PWP1
RPS15 RPS29
RPS15 RBM28
RPS15 RPL36A
RPS15 C18orf32
CNGB1 PRPH2
CNGB1 ABCA4
PYGM S100A1
PYGM PYGM
PYGM PYGL
TNK1 GRB10
TNK1 TNK1
ZMYND12 PRKAA2
ZMYND12 ABI2
ZMYND12 TXN2
ZMYND12 SHC3
ZMYND12 MOAP1
ZMYND12 KANK2
ZMYND12 ZNF148
ZMYND12 PATL1
ZMYND12 CCDC24
ZMYND12 SPG21
ZMYND12 CHCHD2
ZMYND12 ZNF414
ZMYND12 HR
ZMYND12 THRSP
ZMYND12 SAMD11
ZMYND12 VEZF1
ZMYND12 ONECUT3
CHD7 PARP1
CHD7 SMARCA4
CHD7 SOX2
CHD7 SMARCB1
DPYSL3 DPYSL2
DPYSL3 DPYSL5
MKKS STK16
MKKS PTN
MADD YWHAG
MADD NPDC1
MADD PTPRN
MADD MADD
RASL12 SMURF2
RASL12 BMPR1B
CENPX FANCL
GMNN PTPN11
GMNN SMARCA4
GMNN CCDC146
GMNN SIX3
GMNN GMNN
GMNN KANK2
PIGF TMEM14B
RBP1 LRP2
RBP1 RBBP4
RBP1 SNF8
RBP1 DHPS
RBP1 BRMS1L
RBP1 LRAT
CDK5R2 CHN1
PHB2 PELP1
PHB2 TSC22D1
PHB2 MEF2A
PHB2 FBL
PHB2 TRAF6
PHB2 SNRNP200
PHB2 YBX1
PHB2 RPL3
PHB2 RPS7
PHB2 DYNC1H1
PHB2 FMR1
PHB2 ILF3
PHB2 FXR1
PHB2 UQCRC1
PHB2 VDAC2
PHB2 NDUFB8
PHB2 CYC1
PHB2 NDUFS8
PHB2 NDUFV1
PHB2 VDAC3
PHB2 FAP
PHB2 ATP5F1C
PHB2 RPS5
PHB2 DHX30
PHB2 RPL26
PHB2 PCBP2
PHB2 MRPS5
PHB2 RPL38
PHB2 RPS3A
PHB2 RPL27A
PHB2 PPP2R1A
PHB2 NUP93
PHB2 CMSS1
PHB2 ATXN10
PHB2 MRPS23
PHB2 WDR18
PHB2 TIMM50
PHB2 NELFCD
PHB2 RPL37A
SOCS4 ELOC
EIF3L EIF1B
EIF3L EIF4A2
EIF3L CALM1
STX18 SEC22B
STX18 NSG2
MAP1LC3A NBR1
MAP1LC3A CBX5
MAP1LC3A TOLLIP
MAP1LC3A MAP1S
MAP1LC3A KXD1
MAP1LC3A GPSM1
MAP1LC3A BNIP3L
MAP1LC3A KEAP1
MAP1LC3A ATG4B
MAP1LC3A AP2A1
MAP1LC3A TBC1D9
MAP1LC3A ATG13
MAP1LC3A DCAF1
MAP1LC3A RETREG3
MAP1LC3A TP53INP2
MAP1LC3A ANK2
MAP1LC3A MREG
MAP1LC3A MAP1B
MAP1LC3A MAP1A
MAP1LC3A FUNDC1
MAP1LC3A CLTA
ST13 HSPA4
ST13 TRAF6
ST13 HSP90AA1
ST13 ASF1A
ST13 TTR
ST13 APOE
ST13 PCBD1
ST13 GABARAPL2
NDUFAF8 NDUFAF5
EFNB3 GRIP2
EFNB3 EFNB3
LRRC6 DDX6
EIF2AK2 MAP3K7
EIF2AK2 MAPK1
EIF2AK2 TRAF6
EIF2AK2 HSP90AA1
EIF2AK2 ILF3
EIF2AK2 PRKRA
EIF2AK2 DHX30
EIF2AK2 FTSJ3
EIF2AK2 EIF6
EIF2AK2 TOLLIP
EIF2AK2 EIF2AK2
EIF2AK2 SON
EIF2AK2 FIBP
EIF2AK2 ADARB1
PSIP1 PTK2
PSIP1 HMGA1
PSIP1 MAPK6
PSIP1 BANF1
SERF1A TMEM14B
SERF1A ELOVL4
SERF1A CERS4
GLDC GCSH
GLDC GLDC
NUBP2 PTP4A3
NUBP2 PHLDA3
CACNB2 CTBP2
CACNB2 HEXIM2
CACNB2 PRKACB
MKLN1 RMND5A
MKLN1 RNPS1
MKLN1 MKLN1
MKLN1 CYREN
TJP2 HGS
TJP2 YWHAG
TJP2 YWHAQ
TJP2 TRAF6
TJP2 TJP1
TJP2 CGN
TJP2 CLDN1
SCG3 PTK2
ZCCHC7 KIF9
HINT1 RBX1
HINT1 ENO1
HINT1 RUVBL1
HINT1 PARK7
HINT1 PRDX5
HINT1 HINT1
MORN4 TCF4
MORN4 TRIM23
MORN4 SSX2IP
MORN4 RANBP3
MORN4 SNCB
MORN4 PLAGL2
