MAP1LC3A SPRED2
MAP1LC3A MAP1B
TNC EGFR
TNC ITGB1
TNC FN1
TNC CNTN1
TMEM130 TMEM100
B4GAT1 B4GALT1
NEBL VCL
NEBL ZYX
NEBL MIPOL1
CD9 ITGB1
CD9 PRKCA
CD9 CD81
CD9 SERPINH1
CD9 ITGA2
CD9 CD59
CD9 CD63
COL6A1 DCN
COL6A1 LGALS3BP
EFNB1 EGFR
EFNB1 EFNB1
EFNB1 EPHA3
EFNB1 RGS3
FOXS1 RBPMS
FBXO44 SERTAD3
FBXO44 MEOX2
GBA SNCA
GBA PSAP
KCNE4 PRKCA
PSAP PRKG1
PSAP SMAD9
PSAP GHR
PSAP MAFF
PSAP PSAP
KCNJ8 KCNJ2
KCNJ8 ABCC9
KCNJ8 TMEM140
KCNJ8 KCNJ8
MAMDC2 EFHC1
ITGA8 ITGB1
ITGA8 FN1
ITGA8 NPNT
CNIH3 TMEM237
CNIH3 STOM
CNIH3 SMIM3
CNIH3 GPX8
CNIH3 PLD3
CNIH3 SLC16A2
AKAP9 TRIP10
AKAP9 MAGED1
AKAP9 PPP1CB
AKAP9 GLIS2
AKAP9 PDE4DIP
AKAP9 TCEANC
CABLES1 ABL1
PTGIR PRKCA
PTGIR PTGIR
PARD3B SMAD7
CACNB2 CACNA1C
SAMD4A MEOX2
SAMD4A PRDM6
HLA-G HLA-G
FHOD1 ACTG1
FHOD1 PRKG1
FHOD1 RAI2
FHOD1 BBS4
FHOD1 FHOD1
LRTM1 MAL
CFI C3
CFI CFH
EXOC3L1 LDB2
OSBPL9 USP11
SERINC1 GPX8
ABL1 JUN
ABL1 EGFR
ABL1 RAD52
ABL1 UBC
ABL1 CAV1
ABL1 SNCA
ABL1 CEBPB
ABL1 NFKBIA
ABL1 PIK3R1
ABL1 AXL
ABL1 ABL1
ABL1 NEDD9
ABL1 LRRK1
ABL1 WASF1
ABL1 SOCS3
ABL1 LATS2
ABL1 YAP1
ABL1 PKD1
ABL1 TUB
ABL1 EPHA3
ABL1 NCKAP5
ABL1 LTBP2
ABL1 DLGAP1
ABL1 NFASC
ABL1 DNM1
ABL1 ROBO1
ABL1 EFNA5
ABL1 C3
ABL1 CNTNAP1
ABL1 PLSCR4
ABL1 SORBS3
ABL1 PRX
ABL1 DAAM1
ABL1 HEXA
ABL1 RTL8C
ABL1 NXPH3
ABL1 CNTFR
ABL1 FOXF2
ABL1 C6
ABL1 EFS
ABL1 PRKD1
FUCA2 MEOX2
FUCA2 WNT11
EFHC1 SNAI1
EFHC1 TCF4
EFHC1 WASF1
EFHC1 SORBS3
EFHC1 GADD45B
EFHC1 PBX1
ADAM17 PRKCA
ADAM17 SH3D19
ADAM17 TIMP3
VLDLR CLU
VLDLR SERPINE1
VLDLR APOE
VLDLR LPL
RRAS PIK3R1
RRAS NAV2
FOS MAPK10
FOS JUN
FOS LMNA
FOS CLU
FOS JUND
FOS JUNB
FOS DDIT3
FOS CREB5
FOS PKNOX2
FOS GNG11
FOS MITF
FOS WEE1
FOS MDFI
FOS BMPR1A
FOS RBM6
FOS FOS
FOS MT2A
FOS MAP1B
FOS MAPK12
ZC3HC1 TSC22D1
RRAD EGFR
RRAD PRKCA
RRAD CAMK2A
LRRC4C NTNG1
LRRC4C LRRC4C
LRRC4C TWSG1
LRRC4C PGAP2
EPB41L2 GRIA1
EPB41L2 DRD1
RBFOX2 MAGED1
RBFOX2 GLIS2
RBFOX2 ATN1
RBFOX2 HNRNPH1
RBFOX2 RBPMS
RBFOX2 CAMK2A
RBFOX2 RBFOX2
IGFBP4 IGF2
IGFBP4 PAPPA
GPSM1 GLIS2
GPSM1 GNAI1
GPSM1 KANK2
GPSM1 GPSM1
ZNF559 MDFI
LAMC1 NID1
LAMC1 LAMB2
LAMC1 NID2
BGN COL1A1
BGN COL4A2
BGN COL1A2
BGN BMP4
BGN SGCA
BGN ELN
BGN MFAP2
BGN CCN4
EXT2 CDKN1A
EXT2 EXT1
EXT2 EXT2
MDFI MAGED1
MDFI ATN1
MDFI CDC42EP1
MDFI TSFM
MDFI EFEMP2
MDFI SPRED2
MDFI MDFI
MDFI ZNF439
MDFI CBFA2T2
MDFI WNT11
MDFI CREB5
MDFI SPRY1
MDFI HEYL
MDFI ADAMTSL3
MDFI FAM161A
MDFI HNRNPLL
MDFI KIAA0408
MDFI B3GNT9
MDFI TRPC1
MDFI PLSCR4
MDFI PWWP3A
MDFI NAB2
MDFI FNDC11
MDFI FXYD6
MDFI PID1
MDFI SEMA3B
MDFI PCSK5
MDFI PTK7
MDFI PKD2
MDFI NKD1
MDFI VSTM4
MDFI BEX3
MDFI VASN
MDFI TCEANC
MDFI ZNF662
MDFI SELENOM
MDFI VGLL3
MDFI TSPAN4
MDFI SPON1
B4GALT1 EGFR
B4GALT1 B4GALT1
NOG BMP4
NOG BMP5
NOG NOG
SCX SOX9
SCX TCF4
LDHC ALDH7A1
LDHC CTH
LDHC ALDH1A1
LDHC ALDH2
LDHC ALDH6A1
FBLN2 TNFRSF1A
FBLN2 FN1
FBLN2 ATN1
FBLN2 HSPG2
FBLN2 VCAN
FBLN2 ACAN
FBLN2 FBLN2
FBLN2 ELN
FBLN2 COL4A5
FBLN2 NID1
FBLN2 COL4A2
FBLN2 COL18A1
SNCA EGFR
SNCA UBC
SNCA SNCA
SNCA SPTBN1
SNCA HSPB1
SNCA CRYAB
SNCA SLC6A4
SNCA CLU
SNCA PDE4DIP
SNCA VIM
SNCA MAP1B
SNCA CAMK2A
SNCA SQSTM1
SNCA PLK3
PTPRM PPFIBP1
PTPRM PCSK5
PTPRM PTPRM
PTPRZ1 CNTN1
PTPRZ1 PTN
PTPRZ1 MDK
PTPRZ1 PTPRZ1
NAB2 NEDD9
NAB2 RBPMS
NAB2 SORBS3
NAB2 MORF4L2
NAB2 TCEANC
NAB2 NAB2
NAB2 ZBED8
NGF NGF
NGF A2M
PGAP2 GJA5
PGAP2 GPX8
PGAP2 AMIGO1
PGAP2 TMEM9
PGAP2 CLSTN3
ZEB2 SMAD9
NDN EGFR
NDN SERTAD3
NDN EID1
NDN EEF1AKMT1
NDN NDN
ROCK2 NFKBIA
ROCK2 IRS1
ROCK2 DNM1
ROCK2 VIM
ROCK2 PPP1R14A
ROCK2 MARCKS
ROCK2 DPYSL2
VGLL3 POGZ
VGLL3 RBPMS
VGLL3 TEAD1
VGLL3 PCSK5
VGLL3 TSPAN4
CD63 SRF
CD63 ITGB1
CD63 TIMP1
CD63 CD81
HRNR SYNE1
TMEM9 TMEM140
MYOC TNFRSF1A
MYOC ANXA2
MYOC FN1
MYOC TIMP1
MYOC CD81
MYOC FTL
MYOC NOTCH2
MYOC COL1A2
MYOC A2M
MYOC MYOC
MYOC OLFML3
MYOC ACTA2
MYOC C1QB
MYOC SERPINF1
MYOC COL3A1
APBB3 EGFR
APBB3 APLP2
ZNF835 TSPYL2
ZNF835 IL16
GSTP1 EGFR
GSTP1 GSTP1
GSTP1 FN1
GSTP1 PRDX6
GSTP1 TGM2
GSTP1 PTN
GSTP1 PRKCA
